Россия Авангард Курск 2012 Гаврилов Мина Богданович 60
Россия Металлург Липецк 1999 Трофимов Любомир Харламович 48
Украина Олимпик Донецк 1956 Шарапов Иван Глебович 21
Украина Олимпик Донецк 1957 Селиверстов Марк Феоктистович 24
Украина Олимпик Донецк 1955 Казаков Серафим Герасимович 26
Украина Олимпик Донецк 1977 Галкин Ерофей Демьянович 53
Украина Олимпик Донецк 2016 Ильин Онуфрий Якубович 56
Украина Олимпик Донецк 1975 Беляев Родион Филатович 57
Россия Ростов Ростов 1967 Тарасов Всеволод Анисимович 18
Россия Ростов Ростов 1976 Миронов Казимир Глебович 19
Россия Ростов Ростов 1983 Колобов Дорофей Геннадиевич 32
Россия Ростов Ростов 1977 Красильников Ираклий Феоктистович 62
Россия Ротор-Волгоград Волгоград 1958 Марков Потап Дмитриевич 50
Россия Ротор-Волгоград Волгоград 2015 Макаров Анисим Аверьянович 51
Россия Ротор-Волгоград Волгоград 1995 Трофимов Андрон Ефимович 59
Россия Рубин Казань 1966 Фомичев Моисей Власович 40
Россия Рубин Казань 1997 Калинин Макар Феоктистович 42
Россия СКА-Хабаровск Хабаровск 1972 Селиверстов Конон Трифонович 5
Россия СКА-Хабаровск Хабаровск 2011 Лыткин Будимир Фролович 48
Россия Салют Белгород 2013 Агафонов Ермил Бенедиктович 14
Россия Салют Белгород 1986 Нестеров Аникей Филимонович 41
Россия Сибирь Новосибирск 1984 Одинцов Лонгин Трофимович 31
Россия Сокол Саратов 2005 Дмитриев Станислав Авдеевич 23
Россия Сокол Саратов 2007 Корнилов Емельян Валентинович 28
Россия Сокол Саратов 2018 Бобров Орест Фёдорович 29
Россия Сокол Саратов 2004 Агафонов Архип Герасимович 59
Россия Сочи Сочи 1994 Лаврентьев Ростислав Венедиктович 8
Россия Сочи Сочи 2012 Кондратьев Емельян Абрамович 28
Россия Сочи Сочи 1993 Муравьев Борислав Иосипович 54
Россия Спартак Москва 1986 Веселов Юрий Александрович 33
Россия Спартак Москва 1990 Третьяков Ферапонт Захарьевич 61
Россия Спартак Москва 1958 Игнатов Емельян Тихонович 65
Россия Спартак-Владикавказ Владикавказ 1989 Абрамов Мирослав Григорьевич 12
Россия Спартак-Владикавказ Владикавказ 2019 Макаров Ипат Трифонович 19
Россия Спартак-Владикавказ Владикавказ 1959 Никитин Антонин Игоревич 48
Украина Сталь Алчевск 1975 Дьячков Фома Арсеньевич 4
Россия Торпедо Владимир 2010 Молчанов Изяслав Даниилович 4
Россия Торпедо Владимир 1977 Зыков Светозар Денисович 31
Россия Торпедо Владимир 1959 Прохоров Родион Евсеевич 36
Россия Торпедо Владимир 1965 Прохоров Амос Егорович 42
Россия Торпедо Владимир 2000 Игнатов Корнил Анатольевич 51
Россия Факел Воронеж 1958 Вишняков Адам Адамович 31
Россия Факел Воронеж 2019 Соловьев Митофан Ермилович 57
Россия Химки Химки 1978 Селезнев Владлен Августович 26
Россия Химки Химки 1989 Ильин Арсений Витальевич 31
Россия Химки Химки 1957 Гущин Аристарх Ефремович 37
Россия Химки Химки 1991 Филатов Мефодий Арсенович 45
Россия Химки Химки 1955 Михеев Константин Ефимьевич 57
Россия ЦСКА Москва 1967 Капустин Гордей Филиппович 26
Россия ЦСКА Москва 1990 Муравьев Иосиф Филатович 39
Россия ЦСКА Москва 1967 Лапин Карл Глебович 50
Украина Черноморец Одесса 1961 Шубин Милан Игоревич 10
Украина Черноморец Одесса 1973 Белоусов Радислав Тимурович 46
Украина Черноморец Одесса 1958 Блинов Орест Валентинович 49
Украина Черноморец Одесса 1982 Фомин Артем Абрамович 51
Украина Шахтер Донецк 1959 Евсеев Осип Тихонович 58
Россия Шинник Ярославль 1998 Голубев Вениамин Ефстафьевич 0
Россия Шинник Ярославль 1975 Петухов Пимен Жанович 18
Россия Шинник Ярославль 2019 Казаков Игорь Жоресович 21
Россия Шинник Ярославль 1964 Котов Евгений Брониславович 25
Россия Шинник Ярославль 2006 Соловьев Аверкий Устинович 31
Россия Шинник Ярославль 1992 Зимин Софрон Ааронович 51
